name,type,category,power,hits,alwaysCrit,teraAdative,notes,接触,切る技,音技,命中,PP,効果
3ぼんのや,かくとう,物理,90,1,,,,,,,100,12,急所に当たりやすい(急所ランク:+1)。50%の確率で、相手の『ぼうぎょ』ランクを1段階下げる。30%の確率で相手をひるませる。
アーマーキャノン,ほのお,特殊,120,1,,,,,,,100,8,攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。
アームハンマー,かくとう,物理,100,1,,,,TRUE,,,90,12,攻撃後、自分の『すばやさ』ランクが1段階下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
アイアンテール,はがね,物理,100,1,,,,TRUE,,,75,16,30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
アイアンヘッド,はがね,物理,80,1,,,,TRUE,,,100,16,20%の確率で相手をひるませる。
アイアンローラー,はがね,物理,130,1,,,,TRUE,,,100,8,場の状態『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』を解除し、元に戻す。いずれの状態でもない時は技が失敗する。
アイススピナー,こおり,物理,80,1,,,,TRUE,,,100,16,場の状態『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』を解除し、元に戻す。
アイスハンマー,こおり,物理,100,1,,,,TRUE,,,90,12,攻撃後、自分の『すばやさ』ランクが1段階下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
アイスボール,こおり,物理,30,1,,,,,,,,,
あおいほのお,ほのお,特殊,130,1,,,,,,,,,
アクアカッター,みず,物理,70,1,,,,,TRUE,,100,20,急所に当たりやすい(急所ランク:+1)。
アクアジェット,みず,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。
アクアステップ,みず,物理,80,1,,,,TRUE,,,100,12,100%の確率で自分の『すばやさ』ランクが1段階上がる。
アクアテール,みず,物理,90,1,,,,TRUE,,,90,12,通常攻撃。
アクアブレイク,みず,物理,85,1,,,,TRUE,,,100,12,20%の確率で、相手の『ぼうぎょ』ランクを1段階下げる。
あくうせつだん,ドラゴン,特殊,100,1,,,,,,,,,
アクセルブレイク,かくとう,物理,100,1,,,,,,,,,
アクセルロック,いわ,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。
あくのはどう,あく,特殊,80,1,,,,,,,100,16,20%の確率で相手をひるませる。
アクロバット,ひこう,物理,55,1,,,,TRUE,,,100,16,自分が道具を持っていない時、威力が2倍になる。
アシストパワー,エスパー,特殊,20,1,,,,,,,100,12,自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
アシッドボム,どく,特殊,40,1,,,,,,,100,20,100%の確率で相手の『とくぼう』ランクを2段階下げる。
アストラルビット,ゴースト,特殊,120,1,,,,,,,,,
あてみなげ,かくとう,物理,70,1,,,,,,,,,
あなをほる,じめん,物理,80,1,,,,TRUE,,,100,12,1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
あばれる,ノーマル,物理,120,1,,,,TRUE,,,100,12,自分は『あばれ』状態となり、2～3ターン連続で攻撃し、他の行動はできない。その後1～4ターンの間『こんらん』状態になる。
アフロブレイク,ノーマル,物理,120,1,,,,,,,,,
あやしいかぜ,ゴースト,特殊,60,1,,,,,,,,,
あわ,みず,特殊,40,1,,,,,,,,,
アンカーショット,はがね,物理,80,1,,,,,,,,,
あんこくきょうだ,あく,物理,75,1,TRUE,,,,,,,,
いあいぎり,ノーマル,物理,50,1,,,,,,,,,
いかり,ノーマル,物理,20,1,,,,,,,,,
