No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
1,フシギダネ,くさ,どく,45,49,49,65,65,45,6.9,しんりょく,,ようりょくそ,
2,フシギソウ,くさ,どく,60,62,63,80,80,60,13,しんりょく,,ようりょくそ,
3,フシギバナ,くさ,どく,80,82,83,100,100,80,100,しんりょく,,ようりょくそ,TRUE
3,メガフシギバナ,くさ,どく,80,100,123,122,120,80,155.5,あついしぼう,,,TRUE
4,ヒトカゲ,ほのお,,39,52,43,60,50,65,8.5,もうか,,サンパワー,
5,リザード,ほのお,,58,64,58,80,65,80,19,もうか,,サンパワー,
6,リザードン,ほのお,ひこう,78,84,78,109,85,100,90.5,もうか,,サンパワー,TRUE
6,メガリザードンX,ほのお,ドラゴン,78,130,111,130,85,100,110.5,かたいツメ,,,TRUE
6,メガリザードンY,ほのお,ひこう,78,104,78,159,115,100,110.5,ひでり,,,TRUE
7,ゼニガメ,みず,,44,48,65,50,64,43,9,げきりゅう,,あめうけざら,
8,カメール,みず,,59,63,80,65,80,58,22.5,げきりゅう,,あめうけざら,
9,カメックス,みず,,79,83,100,85,105,78,85.5,げきりゅう,,あめうけざら,TRUE
9,メガカメックス,みず,,79,103,120,135,115,78,101.1,メガランチャー,,,TRUE
10,キャタピー,むし,,45,30,35,20,20,45,2.9,りんぷん,,にげあし,
11,トランセル,むし,,50,20,55,25,25,30,9.9,だっぴ,,,
12,バタフリー,むし,ひこう,60,45,50,90,80,70,32,ふくがん,,いろめがね,
13,ビードル,むし,どく,40,35,30,20,20,50,3.2,りんぷん,,にげあし,
14,コクーン,むし,どく,45,25,50,25,25,35,10,だっぴ,,,
15,スピアー,むし,どく,65,90,40,45,80,75,29.5,むしのしらせ,,スナイパー,TRUE
15,メガスピアー,むし,どく,65,150,40,15,80,145,40.5,てきおうりょく,,,TRUE
16,ポッポ,ノーマル,ひこう,40,45,40,35,35,56,1.8,するどいめ,ちどりあし,はとむね,
17,ピジョン,ノーマル,ひこう,63,60,55,50,50,71,30,するどいめ,ちどりあし,はとむね,
18,ピジョット,ノーマル,ひこう,83,80,75,70,70,101,39.5,するどいめ,ちどりあし,はとむね,TRUE
18,メガピジョット,ノーマル,ひこう,83,80,80,135,80,121,50.5,ノーガード,,,TRUE
19,コラッタ,ノーマル,,30,56,35,25,35,72,3.5,にげあし,こんじょう,はりきり,
19,コラッタA,あく,ノーマル,30,56,35,25,35,72,3.8,くいしんぼう,はりきり,あついしぼう,
20,ラッタ,ノーマル,,55,81,60,50,70,97,18.5,にげあし,こんじょう,はりきり,
20,ラッタA,あく,ノーマル,75,71,70,40,80,77,25.5,くいしんぼう,はりきり,あついしぼう,
21,オニスズメ,ノーマル,ひこう,40,60,30,31,31,70,2,するどいめ,,スナイパー,
22,オニドリル,ノーマル,ひこう,65,90,65,61,61,100,38,するどいめ,,スナイパー,
23,アーボ,どく,,35,60,44,40,54,55,6.9,いかく,だっぴ,きんちょうかん,
24,アーボック,どく,,60,95,69,65,79,80,65,いかく,だっぴ,きんちょうかん,TRUE
25,ピカチュウ,でんき,,35,55,40,50,50,90,6,せいでんき,,ひらいしん,TRUE
26,ライチュウ,でんき,,60,90,55,90,80,110,30,せいでんき,,ひらいしん,TRUE
26,ライチュウA,でんき,エスパー,60,85,50,95,85,110,21,サーフテール,,,TRUE
26,メガライチュウX,でんき,,60,135,95,90,95,110,38,エレキメイカー,,,TRUE
26,メガライチュウY,でんき,,60,100,55,160,80,130,26,ノーガード,,,TRUE
27,サンド,こおり,はがね,50,75,85,20,30,40,12,すながくれ,,すなかき,
27,サンドA,こおり,はがね,50,75,90,10,35,40,40,ゆきがくれ,,ゆきかき,
28,サンドパン,こおり,はがね,75,100,110,45,55,65,29.5,すながくれ,,すなかき,
28,サンドパンA,こおり,はがね,75,100,120,25,65,65,55,ゆきがくれ,,ゆきかき,
29,ニドラン♀,どく,,55,47,52,40,40,41,7,どくのトゲ,とうそうしん,はりきり,
30,ニドリーナ,どく,,70,62,67,55,55,56,20,どくのトゲ,とうそうしん,はりきり,
31,ニドクイン,どく,じめん,90,92,87,75,85,76,60,どくのトゲ,とうそうしん,ちからずく,
32,ニドラン♂,どく,,46,57,40,40,40,50,9,どくのトゲ,とうそうしん,はりきり,
33,ニドリーノ,どく,,61,72,57,55,55,65,19.5,どくのトゲ,とうそうしん,はりきり,
34,ニドキング,どく,じめん,81,102,77,85,75,85,62,どくのトゲ,とうそうしん,ちからずく,
35,ピッピ,フェアリー,,70,45,48,60,65,35,7.5,メロメロボディ,マジックガード,フレンドガード,
